A0,A1,A2,A3
5.62,5.559,5.554,5.568
5.634,5.522,5.554,5.512
5.611,5.578,5.545,5.522
5.611,5.536,5.578,5.531
5.611,5.517,5.568,5.545
5.629,5.559,5.554,5.55
5.653,5.55,5.545,5.54
5.634,5.559,5.55,5.517
5.625,5.606,5.568,5.554
5.597,5.54,5.54,5.568
5.597,5.526,5.536,5.526
5.592,5.55,5.559,5.554
5.615,5.54,5.559,5.531
5.601,5.597,5.564,5.536
5.611,5.517,5.526,5.522
5.601,5.526,5.522,5.587
5.597,5.554,5.54,5.507
5.601,5.573,5.559,5.507
5.578,5.545,5.54,5.564
5.601,5.517,5.568,5.554
5.611,5.522,5.568,5.55
5.639,5.503,5.559,5.493
5.592,5.517,5.536,5.55
5.653,5.536,5.536,5.526
5.597,5.559,5.578,5.55
5.592,5.55,5.545,5.503
5.587,5.531,5.592,5.531
5.625,5.601,5.55,5.568
5.625,5.536,5.507,5.54
5.597,5.564,5.55,5.536
5.615,5.559,5.554,5.545
5.615,5.559,5.559,5.503
5.639,5.545,5.573,5.559
5.592,5.522,5.531,5.559
5.578,5.517,5.559,5.517
5.578,5.554,5.545,5.531
5.639,5.583,5.517,5.545
5.615,5.587,5.522,5.554
5.573,5.568,5.545,5.559
5.578,5.536,5.592,5.526
5.592,5.55,5.559,5.559
5.62,5.54,5.564,0.0
5.597,5.601,5.568,0.0
5.62,5.601,5.55,5.512
5.634,5.55,5.55,5.55
5.583,5.573,5.554,5.531
5.648,5.587,5.583,5.55
5.611,5.545,5.583,5.531
5.634,5.554,5.568,5.522
5.658,5.55,5.559,5.512
5.55,5.606,5.564,5.554
5.615,5.526,5.545,5.564
5.568,5.531,5.559,5.512
5.653,5.573,5.573,5.526
5.606,5.531,5.564,5.507
5.573,5.531,5.545,5.55
5.587,5.559,5.568,5.512
5.62,5.531,5.578,5.526
5.615,5.554,5.55,5.512
5.611,5.559,5.559,5.559
5.62,5.559,5.564,5.522
5.601,5.578,5.564,5.55
5.615,5.573,5.611,5.503
5.583,5.583,5.559,5.522
5.611,5.512,5.583,5.531
5.62,5.578,5.559,5.531
5.62,5.55,5.601,5.54
5.606,5.568,5.573,5.531
5.597,5.55,5.587,5.531
5.587,5.55,5.583,5.531
5.587,5.517,5.536,5.517
5.564,5.517,5.54,5.545
5.606,5.55,5.583,5.522
5.587,5.55,5.54,5.54
5.606,5.522,5.564,5.545
5.606,5.587,5.564,5.531
5.658,5.545,5.55,5.55
5.629,5.568,5.554,5.554
5.606,5.545,5.559,5.554
5.629,5.531,5.583,5.536
5.625,5.568,5.573,5.559
5.601,5.536,5.564,5.503
5.648,5.54,5.573,5.54
5.583,5.601,5.587,5.531
5.592,5.564,5.573,5.54
5.573,5.573,5.578,5.531
5.629,5.531,5.564,5.517
5.606,5.526,5.578,5.512
5.648,5.568,5.545,5.559
5.644,5.568,5.55,5.512
5.601,5.597,5.592,5.54
5.583,5.55,5.592,5.531
5.615,5.536,5.583,5.531
5.583,5.536,5.564,5.536
5.583,5.568,5.578,5.554
5.606,5.597,5.597,5.54
5.592,5.564,5.592,5.526
5.573,5.583,5.592,5.512
5.597,5.554,5.568,5.564
5.606,5.592,5.587,5.526
5.634,5.601,5.568,5.54
5.597,5.55,5.522,5.503
5.583,5.578,5.526,5.536
5.625,5.554,5.587,5.536
5.573,5.587,5.578,5.54
5.597,5.536,5.568,5.545
5.634,5.55,5.597,5.536
5.559,5.559,5.568,5.531
5.592,5.55,5.592,5.522
5.554,5.489,5.583,5.54
5.587,5.512,5.545,5.526
5.625,5.597,5.587,5.568
5.615,5.592,5.578,5.54
5.634,5.583,5.597,5.601
5.587,5.554,5.568,5.578
5.611,5.568,5.573,5.587
5.606,5.564,5.606,5.54
5.559,5.578,5.578,5.578
5.639,5.559,5.578,5.55
5.597,5.573,5.583,5.573
5.662,5.55,5.568,5.559
5.625,5.54,5.568,5.573
5.545,5.564,5.54,5.601
5.615,5.536,5.536,5.55
5.611,5.568,5.559,5.517
5.573,5.559,5.526,5.578
5.512,5.554,5.564,5.583
5.611,5.559,5.536,5.545
5.653,5.592,5.559,5.531
5.597,5.522,5.536,5.512
5.597,5.536,5.568,5.578
5.658,5.606,5.554,5.531
5.611,5.489,5.564,5.526
5.597,5.536,5.559,5.564
5.634,5.554,5.54,5.559
5.639,5.545,5.545,5.559
5.583,5.564,5.559,5.578
5.554,5.545,5.536,5.526
5.606,5.55,5.55,5.522
5.568,5.554,5.507,5.545
5.601,5.573,5.526,5.578
5.597,5.564,5.526,5.526
5.606,5.578,5.54,5.554
5.62,5.592,5.559,5.498
5.597,5.545,5.55,5.531
5.578,5.554,5.564,5.559
5.634,5.536,5.554,5.597
5.545,5.54,5.55,5.484
5.517,5.573,5.55,5.55
5.606,5.503,5.522,5.512
5.601,5.54,5.573,5.522
5.601,5.531,5.54,5.526
5.559,5.512,5.536,5.536
5.587,5.517,0.0,5.554
5.611,5.512,5.54,5.578
5.587,5.592,5.54,5.559
5.554,5.559,5.55,5.611
5.658,5.568,5.554,5.545
5.592,5.578,5.568,5.545
5.611,5.568,5.559,5.559
5.583,5.531,5.55,5.536
5.644,5.568,5.606,5.512
5.587,5.559,5.592,5.54
5.606,5.573,5.55,5.522
5.629,5.545,5.559,5.522
5.62,5.573,5.592,5.545
5.625,5.507,5.597,5.507
5.615,5.526,5.55,5.545
5.583,5.573,5.578,5.554
5.629,5.634,5.597,5.498
5.592,5.531,5.55,5.54
5.573,5.503,5.559,5.526
5.625,5.573,5.568,5.47
5.606,5.611,5.564,5.522
5.587,5.578,5.573,5.54
5.597,5.55,5.564,5.507
5.625,5.536,5.536,5.507
5.601,5.615,5.554,5.512
5.606,5.578,5.564,5.503
5.615,5.578,5.559,5.522
5.639,5.536,5.559,5.484
5.554,5.568,5.578,5.531
5.583,5.568,5.568,5.484
5.625,5.583,5.573,5.526
5.587,5.536,5.559,5.536
5.62,5.54,5.559,5.531
5.578,5.564,5.545,5.517
5.625,5.55,5.564,5.545
5.611,5.55,5.568,5.526
5.601,5.587,5.554,5.493
5.578,5.583,5.559,5.507
5.611,5.545,5.568,5.489
5.587,5.559,5.573,5.484
5.615,5.517,5.573,5.493
5.601,5.507,5.573,5.522
5.606,5.55,5.559,5.493
5.564,5.559,5.559,5.503
5.601,5.545,5.564,5.522
5.615,5.583,5.583,5.536
5.629,5.536,5.559,5.484
5.568,5.517,5.559,5.484
5.564,5.512,5.531,5.517
5.601,5.517,5.564,5.522
5.606,5.526,5.568,5.503
5.644,5.554,5.568,5.54
5.592,5.554,5.554,5.503
5.592,5.554,5.564,5.489
5.568,5.55,5.568,5.522
5.587,5.536,5.559,5.526
5.644,5.601,5.568,5.554
5.606,5.512,5.531,5.503
5.554,5.517,5.554,5.512
5.606,5.583,5.522,5.489
5.592,5.526,5.568,5.498
5.592,5.578,5.559,5.536
5.629,5.512,5.564,5.564
5.587,5.583,5.559,5.512
5.615,5.517,5.559,5.522
5.615,5.498,5.583,5.489
5.554,5.498,5.564,5.493
5.573,5.559,5.55,5.526
5.597,5.545,5.564,5.559
5.592,5.568,5.568,5.507
5.592,5.489,5.583,5.559
5.639,5.522,5.568,5.554
5.611,5.531,5.55,5.512
5.62,5.536,5.578,5.507
5.62,5.531,5.564,5.512
5.634,5.526,5.55,5.517
5.667,5.564,5.583,5.479
5.611,5.55,5.573,5.522
5.611,5.55,5.573,5.55
5.564,5.507,5.564,5.55
5.615,5.531,5.568,5.493
5.615,5.554,5.559,5.554
5.62,5.564,5.597,5.512
5.629,5.526,5.564,5.536
5.611,5.517,5.559,5.545
5.606,5.493,5.578,5.522
5.592,5.554,5.522,5.507
5.606,5.578,5.568,5.503
5.583,5.564,5.559,5.54
5.606,5.545,5.583,5.522
5.606,5.568,5.573,5.55
5.597,5.517,5.583,5.545
5.587,5.507,5.559,5.517
5.629,5.578,5.573,5.522
5.639,5.55,5.564,5.526
5.592,5.578,5.545,5.503
5.583,5.522,5.573,5.512
5.62,5.475,5.583,5.517
5.601,5.573,5.578,5.503
5.578,5.545,5.54,5.493
5.625,5.531,5.568,5.531
5.615,5.559,5.554,5.536
5.568,5.55,5.573,5.559
5.667,5.493,5.573,5.526
5.615,5.545,5.564,5.578
5.583,5.568,5.568,5.489
5.634,5.507,5.564,5.54
5.578,5.545,5.568,5.522
5.578,5.573,5.536,5.498
5.601,5.592,5.536,5.503
5.578,5.554,5.564,5.54
5.578,5.493,5.578,5.503
5.578,5.517,5.545,5.503
5.62,5.522,5.564,5.54
5.625,5.55,5.578,5.568
5.592,5.573,5.531,5.531
5.611,5.55,5.597,5.512
5.606,5.507,5.526,5.498
5.601,5.573,5.559,5.512
5.653,5.564,5.564,5.479
5.592,5.54,5.568,5.512
5.592,5.55,5.587,5.526
5.611,5.568,5.573,5.503
5.587,5.573,5.559,5.517
5.601,5.522,5.54,5.517
5.568,5.583,5.578,5.522
5.62,5.597,5.545,5.545
5.639,5.611,5.545,5.531
5.615,5.545,5.583,5.522
5.625,5.517,5.564,5.531
5.592,5.559,5.54,5.512
5.615,5.493,5.554,5.559
5.648,5.522,5.578,5.55
5.601,5.536,5.564,5.536
5.634,5.564,5.564,5.517
5.639,5.564,5.568,5.484
5.597,5.578,5.536,5.522
5.559,5.545,5.559,5.526
5.568,5.512,5.606,5.564
5.634,5.587,5.568,5.512
5.573,5.503,5.55,5.522
5.54,5.583,5.559,5.512
5.592,5.601,5.554,5.559
5.658,5.54,5.564,5.531
5.648,5.55,5.54,5.503
5.611,5.578,5.55,5.54
5.615,5.564,5.55,5.55
5.573,5.554,5.568,5.522
5.606,5.564,5.54,5.503
5.629,5.592,5.573,5.573
5.559,5.531,5.559,5.601
5.564,5.545,5.564,5.526
5.568,5.573,5.587,5.55
5.587,5.587,5.54,5.568
5.587,5.54,5.536,5.578
5.629,5.512,5.583,5.634
5.583,5.597,5.531,5.568
5.568,5.573,5.489,5.578
5.601,5.554,5.583,5.522
5.606,5.55,5.54,5.54
5.554,5.526,5.568,5.554
5.55,5.55,5.55,5.536
5.625,5.573,5.554,5.568
5.559,5.583,5.545,5.536
5.592,5.554,5.578,5.517
5.601,5.578,5.573,5.503
5.634,5.559,5.573,5.531
5.658,5.573,5.554,5.512
5.587,5.583,5.592,5.512
5.554,5.554,5.573,5.54
5.606,5.564,5.578,5.526
5.554,5.559,5.587,5.536
5.634,5.545,5.592,5.559
5.587,5.536,5.578,5.484
5.55,5.517,5.559,5.526
5.573,5.484,5.568,5.517
5.611,5.522,5.564,5.554
5.568,5.498,5.545,5.554
5.601,5.55,5.55,5.526
5.629,5.526,5.578,5.545
5.601,5.507,5.573,5.503
5.601,5.512,5.531,5.489
5.55,5.545,5.587,5.531
5.554,5.545,5.55,5.522
5.592,5.522,5.522,5.531
5.606,5.531,5.597,5.484
5.62,5.55,5.568,5.545
5.597,5.531,5.55,5.489
5.583,5.531,5.55,5.522
5.573,5.531,5.564,5.573
5.564,5.512,5.568,5.559
5.611,5.583,5.554,5.503
5.606,5.531,5.554,5.512
5.597,5.536,5.54,5.498
5.634,5.559,5.564,5.554
5.578,5.583,5.531,5.517
5.597,5.559,5.564,5.507
5.583,5.545,5.564,5.512
5.568,5.54,5.512,5.564
5.592,5.522,5.573,5.503
5.568,5.517,5.564,5.503
5.625,5.583,5.573,5.507
5.606,0.0,0.0,0.0
5.629,5.568,5.545,5.526
5.606,5.54,5.54,5.522
5.667,5.587,5.554,5.489
5.54,5.606,5.536,5.507
5.564,5.601,5.536,5.475
5.592,5.564,5.522,5.517
5.564,5.554,5.55,5.512
5.573,5.559,5.54,5.559
5.55,5.484,5.531,5.545
5.611,5.578,5.564,5.503
5.597,5.503,5.526,5.498
5.601,5.493,5.517,5.568
5.545,5.503,5.606,5.512
5.583,5.489,5.564,5.484
5.667,5.564,5.531,5.54
5.568,5.531,5.559,5.564
5.592,5.578,0.0,5.479
5.644,5.564,0.0,5.522
5.583,5.475,5.517,5.522
5.611,5.489,5.545,5.536
5.592,5.522,5.55,5.54
5.611,5.564,5.531,5.507
5.639,5.512,5.517,5.507
5.592,5.526,5.54,5.536
5.578,5.559,5.559,5.503
5.587,5.526,5.531,5.531
5.587,5.54,5.564,5.475
5.592,5.583,5.54,5.442
5.653,5.568,5.573,5.503
5.639,5.554,5.54,5.522
5.611,5.554,5.522,5.47
5.592,5.601,5.531,5.493
5.634,5.578,5.568,5.54
5.611,5.592,5.522,5.503
5.573,5.484,5.568,5.461
5.629,5.559,5.564,5.536
5.606,5.517,5.54,5.493
5.573,5.475,5.554,5.503
5.611,5.522,5.54,5.545
5.587,5.536,5.536,5.526
5.601,5.55,5.536,5.493
5.644,5.611,5.573,5.559
5.653,5.62,5.536,5.517
5.587,5.531,5.55,5.461
5.606,5.578,5.526,5.493
5.578,5.583,5.512,5.503
5.601,5.564,5.531,5.536
5.629,5.601,5.493,5.54
5.573,5.526,5.545,5.475
5.573,5.55,5.507,5.493
5.611,5.55,5.512,5.503
5.583,5.583,5.54,5.503
5.564,5.55,5.55,5.536
5.578,5.554,5.54,5.503
5.639,5.592,5.568,5.55
5.592,5.559,5.545,5.559
5.629,5.526,5.512,5.517
5.597,5.597,5.587,5.568
5.592,5.512,5.512,5.503
5.583,5.536,5.554,5.517
5.625,5.592,5.545,5.465
5.583,5.587,5.545,5.512
5.672,5.54,5.54,5.484
5.62,5.568,5.554,5.498
5.62,5.517,5.536,5.522
5.583,5.536,5.573,5.554
5.644,5.522,5.583,5.531
5.592,5.568,5.578,5.536
5.629,5.578,5.559,5.55
5.578,5.578,5.559,5.536
5.597,5.545,5.601,5.554
5.615,5.554,5.564,5.517
5.559,5.545,5.55,5.564
5.62,5.578,5.564,5.54
5.587,5.573,5.554,5.564
5.55,5.578,5.578,5.583
5.611,5.592,5.554,5.531
5.578,5.554,5.55,5.54
5.559,5.54,5.564,5.522
5.601,5.526,5.564,5.493
5.601,5.526,5.578,5.587
5.629,5.554,5.62,5.531
5.62,5.512,5.545,5.554
5.625,5.526,5.536,5.568
5.583,5.522,5.54,5.573
5.583,5.568,5.545,5.554
5.564,5.507,5.54,5.568
5.583,5.592,5.583,5.587
5.554,5.554,5.559,5.587
5.597,5.55,5.559,5.583
5.601,5.522,5.512,5.578
5.629,5.55,5.545,5.578
5.625,5.583,5.554,5.559
5.648,5.583,5.536,5.55
5.634,5.568,5.536,5.526
5.545,5.573,5.554,5.517
5.573,5.531,5.54,5.573
5.559,5.573,5.517,5.503
5.615,5.522,5.536,5.573
5.62,5.55,5.545,5.545
5.583,5.559,5.568,5.592
5.559,5.522,5.545,5.531
5.578,5.545,5.54,5.54
5.606,5.536,5.55,5.568
5.601,5.55,5.503,5.606
5.587,5.592,0.0,5.568
5.606,5.503,5.531,5.559
5.615,5.54,5.522,5.587
5.601,5.554,5.507,5.559
5.658,5.568,5.531,5.587
5.583,5.573,5.573,5.568
5.615,5.526,5.559,5.564
5.587,5.536,5.54,5.578
5.587,5.54,5.55,5.597
5.578,5.606,5.573,5.54
5.489,5.531,5.531,5.512
5.587,5.587,5.512,5.55
5.578,5.578,5.526,5.545
5.583,5.54,5.54,5.55
5.601,5.564,5.517,5.578
5.578,5.573,5.503,5.564
5.587,5.54,5.526,5.578
5.601,5.597,5.526,5.583
5.615,5.522,5.545,5.578
5.545,5.554,5.55,5.587
5.545,5.507,5.545,5.564
5.578,5.587,5.554,5.592
5.554,5.559,5.545,5.55
5.568,5.517,5.54,5.54
5.606,5.578,5.522,5.531
5.583,5.573,5.559,5.54
5.62,5.545,5.517,5.578
5.559,5.526,5.517,5.559
5.554,5.587,5.536,5.559
5.597,5.512,5.536,5.583
5.615,5.498,5.55,5.554
5.587,5.522,5.545,5.559
5.592,5.479,5.545,5.531
5.587,5.489,5.545,5.573
5.583,5.517,5.55,5.568
5.507,5.601,5.517,5.587
5.578,5.526,5.545,5.592
5.601,5.578,5.526,5.573
5.606,5.522,5.54,5.587
5.573,5.531,5.545,5.55
5.606,5.597,5.526,5.564
5.517,5.54,5.531,5.559
5.564,5.507,5.522,5.573
5.606,5.568,5.531,5.578
5.597,5.531,5.54,5.587
5.507,5.601,5.526,5.587
5.564,5.568,5.536,5.573
5.573,5.526,5.522,5.583
5.536,5.592,5.559,5.564
5.578,5.578,5.55,5.587
5.583,5.55,5.554,5.583
5.592,5.554,5.559,5.597
5.592,5.564,5.526,5.592
5.573,5.522,5.55,5.578
5.564,5.578,5.512,5.554
5.62,5.536,5.531,5.536
5.62,5.507,5.554,5.573
5.625,5.54,5.559,5.55
5.611,5.536,5.554,5.554
5.62,5.545,5.545,5.554
5.583,5.545,5.564,5.554
5.587,5.517,5.564,5.573
5.62,5.536,5.578,5.583
5.573,5.606,0.0,5.568
5.587,5.554,5.564,5.568
5.62,5.54,5.568,5.564
5.583,5.536,5.54,5.531
5.625,5.531,5.578,5.578
5.564,5.601,5.55,5.592
5.611,5.545,5.54,5.559
5.554,5.568,5.536,5.587
5.639,5.54,5.573,5.54
5.573,5.611,5.564,5.507
5.634,5.503,5.559,5.55
5.573,5.578,5.54,5.55
5.568,5.479,5.545,5.568
5.62,5.564,5.578,5.564
5.606,5.564,5.559,5.554
5.568,5.554,5.517,5.55
5.592,5.583,5.545,5.54
5.573,5.578,5.54,5.55
5.578,5.545,5.564,5.536
5.615,5.568,5.564,5.512
5.634,5.526,5.55,5.498
5.54,5.578,5.54,5.512
5.568,5.564,5.531,5.554
5.615,5.489,5.592,5.531
5.583,5.526,5.564,5.531
5.573,5.554,5.568,5.475
5.615,5.545,5.554,5.526
5.583,5.475,5.559,5.587
5.615,5.568,5.545,5.545
5.611,5.545,5.554,5.545
5.578,5.545,5.587,5.522
5.578,5.531,5.583,5.559
5.592,5.522,5.554,5.554
5.573,5.55,5.55,5.545
5.564,5.592,5.573,5.55
5.597,5.484,5.536,5.55
5.587,5.568,5.564,5.55
5.55,5.526,5.536,5.573
5.578,5.536,5.564,5.503
5.583,5.54,5.559,5.54
5.583,5.578,5.564,5.517
5.592,5.526,5.587,5.512
5.629,5.545,5.568,5.536
5.597,5.578,5.573,5.554
5.583,5.554,5.564,5.573
5.597,5.54,5.554,5.573
5.545,5.536,5.55,5.522
5.639,5.554,5.545,5.531
5.658,5.554,5.507,5.545
5.592,5.522,5.536,5.597
5.606,5.554,5.568,5.517
5.578,5.554,5.545,5.54
5.629,5.536,5.54,5.498
5.568,5.55,5.522,5.536
5.587,5.564,5.545,5.568
5.583,5.554,5.545,5.54
5.573,5.526,5.554,0.0
5.606,5.55,5.554,5.587
5.615,5.522,5.578,5.573
5.554,5.573,5.568,5.578
5.597,5.55,5.554,5.55
5.597,5.564,5.54,5.583
5.601,5.554,5.55,5.583
5.611,5.568,5.54,5.568
5.573,5.564,5.54,5.55
5.615,5.564,5.545,5.559
5.648,5.559,5.568,5.554
5.583,5.559,5.564,5.578
5.629,5.55,5.55,5.559
5.554,5.587,5.536,5.536
5.583,5.611,5.573,5.578
5.601,5.531,5.507,5.512
5.583,5.475,5.522,5.568
5.554,5.55,5.54,5.526
5.615,5.54,5.545,5.564
5.578,5.568,5.564,5.559
5.601,5.559,5.564,5.531
5.592,5.554,5.554,5.526
5.559,5.568,5.526,5.493
5.639,5.54,5.568,5.54
5.644,5.573,5.54,5.536
5.686,5.578,5.559,5.55
5.536,5.559,5.522,5.522
5.578,5.611,5.531,5.54
5.54,5.479,5.526,5.451
5.564,5.517,5.536,5.526
5.62,5.564,5.55,5.554
5.564,5.62,5.573,5.583
5.644,5.573,5.545,5.54
5.648,5.554,5.545,5.606
5.601,5.583,5.573,5.601
5.564,5.592,5.531,5.545
5.597,5.564,5.545,5.597
5.639,5.606,5.554,5.55
5.625,5.559,5.554,5.545
5.625,5.545,5.507,5.559
5.648,5.545,5.545,5.536
5.587,5.559,5.536,5.545
5.634,5.568,5.545,5.526
5.554,5.587,5.554,5.578
5.62,5.592,5.531,5.578
5.597,5.526,5.568,5.54
5.592,5.611,5.554,5.564
5.634,5.559,5.531,5.54
5.611,5.507,5.54,5.545
5.592,5.522,5.531,5.531
5.568,5.484,5.536,5.559
5.62,5.578,5.554,5.517
5.583,5.517,5.507,5.554
5.601,5.512,5.536,5.564
5.583,5.493,5.536,5.54
5.55,5.531,5.568,5.54
5.625,5.522,5.55,5.554
5.625,5.536,5.55,5.526
5.554,5.554,5.559,5.554
5.597,5.512,5.526,5.545
5.587,5.526,5.517,5.583
5.573,5.531,5.536,5.507
5.559,5.583,5.526,5.54
5.606,5.592,5.503,5.512
5.568,5.554,5.536,5.55
5.597,5.559,5.545,5.578
5.578,5.55,5.54,5.554
5.583,5.554,5.54,5.573
5.573,5.559,5.536,5.55
5.625,5.578,5.526,5.536
5.597,5.564,5.531,5.517
5.62,5.522,5.517,5.531
5.559,5.573,5.545,5.54
5.625,5.568,5.545,5.568
5.573,5.55,5.545,5.536
5.592,5.526,5.545,5.564
5.615,5.54,5.573,5.606
5.662,5.536,5.54,5.592
5.597,5.559,5.526,5.597
5.55,5.54,5.536,5.564
5.615,5.559,5.55,5.578
5.611,5.503,5.545,5.592
5.564,5.503,5.517,5.592
5.592,5.517,5.554,5.601
5.536,5.554,5.545,5.606
5.568,5.493,5.531,5.592
5.634,5.503,5.545,5.573
5.55,5.545,5.536,5.507
5.545,5.554,5.522,5.522
5.62,5.559,5.536,5.597
5.559,5.564,5.559,5.573
5.611,5.568,5.54,5.573
5.545,5.54,5.568,5.606
5.587,5.531,5.559,5.62
5.611,5.568,5.564,5.578
5.634,5.55,5.55,5.568
5.592,5.55,5.54,5.54
5.611,5.526,5.545,5.568
5.578,5.545,5.55,5.545
5.606,5.597,5.55,5.583
5.568,5.611,5.554,5.587
5.55,5.526,5.554,5.54
5.578,5.531,5.55,5.559
5.583,5.545,5.554,5.559
5.606,5.545,5.54,5.615
5.644,5.578,5.554,5.578
5.592,5.512,5.559,5.54
5.629,5.559,5.559,5.601
5.587,5.531,5.559,5.578
5.559,5.568,5.545,5.55
5.55,5.512,5.536,5.564
5.634,5.559,5.559,5.573
5.564,5.522,5.554,5.54
5.625,5.554,5.512,5.583
5.568,5.545,5.54,5.554
5.583,5.55,5.526,5.554
5.512,5.512,5.559,5.564
5.648,5.536,5.531,5.536
5.611,5.554,5.526,5.54
5.62,5.503,5.554,5.536
5.601,5.55,5.55,5.531
5.55,5.559,5.54,5.578
5.601,5.536,5.54,5.554
5.531,5.554,5.554,5.578
5.62,5.522,5.55,5.55
5.62,5.512,5.545,5.564
5.564,5.536,5.55,5.54
5.573,5.564,5.545,5.54
5.611,5.517,5.55,5.54
5.554,5.536,5.554,5.578
5.568,5.531,5.568,5.54
5.573,5.522,5.554,5.531
5.536,5.568,5.568,5.568
5.568,5.568,5.554,5.55
5.564,5.517,5.536,5.531
5.611,5.573,5.554,5.583
5.601,5.568,5.55,5.526
5.526,5.507,5.554,5.545
5.597,5.54,5.536,5.55
5.559,5.512,5.568,5.564
5.54,5.592,5.573,5.531
5.606,5.55,5.545,5.554
5.573,5.507,5.573,5.55
5.54,5.564,5.573,5.578
5.62,5.564,5.554,5.568
5.625,5.554,5.531,5.526
5.601,5.568,5.564,5.536
5.601,5.559,5.554,5.545
5.583,5.592,5.55,5.536
5.583,5.583,5.54,5.517
5.583,5.554,5.554,5.554
5.578,5.564,5.536,5.545
5.568,5.573,5.573,5.559
5.573,5.54,5.554,5.583
5.545,5.573,5.568,5.578
5.564,5.54,5.568,5.545
5.559,5.554,5.573,5.564
5.55,5.568,5.564,5.583
5.606,5.568,5.559,5.578
5.554,5.597,5.536,5.554
5.559,5.554,5.573,5.545
5.592,5.564,5.573,5.55
5.55,5.583,5.554,5.568
5.564,5.559,5.554,5.564
5.578,5.592,5.554,5.536
5.578,5.606,5.573,5.564
5.601,5.568,5.601,5.564
5.54,5.573,5.587,5.564
5.568,5.583,5.601,5.568
5.573,5.522,5.564,5.564
5.587,5.517,5.578,5.559
5.564,5.554,5.545,5.54
5.554,5.512,5.592,5.55
5.587,5.517,5.545,5.55
5.568,5.55,5.55,5.55
5.587,5.564,5.54,5.568
5.625,5.559,5.564,5.545
5.536,5.531,5.545,5.54
5.601,5.564,5.573,5.568
5.564,5.531,5.564,5.54
5.554,5.545,5.54,5.545
5.597,5.55,5.559,5.517
5.648,5.554,5.54,5.568
5.592,5.512,5.54,5.54
5.55,5.545,5.573,5.526
5.597,5.526,5.564,5.522
5.601,5.531,5.55,5.531
5.644,5.55,5.559,5.536
5.564,5.536,5.545,5.564
5.54,5.55,5.554,5.517
5.545,5.554,5.536,5.55
5.601,5.554,5.536,5.545
5.592,5.573,5.545,5.55
5.592,5.583,5.573,5.507
5.644,5.536,5.54,5.507
5.554,5.545,5.559,5.564
5.568,5.568,5.517,5.517
5.578,5.522,5.531,5.54
5.601,5.564,5.503,5.559
5.583,5.568,5.564,5.536
5.526,5.526,5.554,5.559
5.583,5.526,5.522,5.536
5.568,5.517,5.522,5.526
5.592,5.55,5.564,5.503
5.568,5.583,5.54,5.568
5.564,5.536,5.55,5.559
5.573,5.583,5.545,5.55
5.545,5.564,5.522,5.526
5.531,5.512,5.54,5.554
5.592,5.536,5.55,5.545
5.55,5.536,5.554,5.536
5.564,5.536,5.55,5.554
5.606,5.554,5.559,5.545
5.648,5.554,5.54,5.503
5.625,5.559,5.54,5.517
5.583,5.554,5.545,5.522
5.564,5.536,5.559,5.54
5.592,5.587,5.578,5.545
5.578,5.517,5.559,5.503
5.578,5.531,5.559,5.54
5.62,5.578,5.536,5.54
5.559,5.545,5.545,5.531
5.639,5.573,5.564,5.522
5.606,5.559,5.545,5.522
5.606,5.573,5.554,5.573
5.573,5.507,5.512,5.522
5.611,5.559,5.545,5.526
5.597,5.554,5.54,5.512
5.606,5.512,5.554,5.526
5.62,5.507,5.545,5.55
5.606,5.554,5.54,5.522
5.545,5.512,5.526,5.536
5.55,5.536,5.573,5.526
5.644,5.531,5.564,5.545
5.559,5.559,5.573,5.484
5.597,5.545,5.526,5.493
5.568,5.564,5.559,5.554
5.573,5.545,5.559,5.536
5.592,5.559,5.55,5.517
5.597,5.545,5.545,5.536
5.615,5.522,5.554,5.568
5.578,5.564,5.55,5.517
5.639,5.568,5.554,5.526
5.611,5.559,5.54,5.545
5.564,5.54,5.559,5.526
5.564,5.564,5.568,5.564
5.587,5.526,5.564,5.564
5.611,5.531,5.583,5.493
5.587,5.54,5.554,5.55
5.554,5.554,5.578,5.536
5.601,5.536,5.531,5.526
5.597,5.55,5.55,5.531
5.545,5.568,5.554,5.54
5.545,5.578,5.536,5.536
5.573,5.554,5.564,5.54
5.587,5.587,5.578,5.564
5.587,5.55,5.573,5.564
5.545,5.55,5.536,5.564
5.54,5.55,5.554,5.54
5.597,5.564,5.583,5.55
5.559,5.564,5.531,5.55
5.559,5.545,5.564,5.583
5.611,5.55,5.573,5.54
5.583,5.526,5.554,5.54
5.573,5.564,5.568,5.568
5.615,5.489,5.554,5.536
5.601,5.578,5.545,5.545
5.597,5.55,5.568,5.545
5.564,5.545,5.554,5.526
5.597,5.578,5.592,5.545
5.601,5.55,5.587,5.592
5.634,5.55,5.545,5.564
5.578,5.606,5.54,5.55
5.648,5.564,5.592,5.568
5.625,5.545,5.583,5.54
5.639,5.545,5.568,5.536
5.644,5.583,5.54,5.578
5.615,5.54,5.578,5.536
5.606,5.564,5.568,5.568
5.568,5.512,5.55,5.545
5.554,5.568,5.536,5.536
5.587,5.536,5.564,5.531
5.601,5.507,5.564,5.559
5.634,5.564,5.545,5.526
5.54,5.573,5.536,5.517
5.554,5.559,5.54,5.54
5.578,5.54,5.573,5.55
5.536,5.498,5.587,5.522
5.573,5.54,5.54,5.545
5.564,5.512,5.564,5.517
5.554,5.526,5.554,5.545
5.559,5.536,5.545,5.522
5.536,5.559,5.545,5.517
5.545,5.545,5.55,5.54
